language,resource_group,method,core_n,core_pass,gemini_n,gemini_faithfulness,hybrid_faithfulness,naturalness_n,naturalness
bo,lower_resource_script_sensitive,naive,512,0.421875,164,0.5609756097560976,0.2804878048780488,160,3.3270833333333334
bo,lower_resource_script_sensitive,field_constrained,512,0.48046875,145,0.7034482758620689,0.3724137931034483,160,3.4322916666666665
bo,lower_resource_script_sensitive,extract_localize_verify,512,0.509765625,163,0.6625766871165644,0.4049079754601227,160,3.3041666666666667
bo,lower_resource_script_sensitive,protected_slot_realization,512,0.724609375,140,0.7,0.5428571428571428,160,3.221875
id,higher_resource,naive,512,0.6484375,154,0.7597402597402597,0.487012987012987,160,4.447916666666667
id,higher_resource,field_constrained,512,0.677734375,161,0.9006211180124224,0.6521739130434783,160,4.492708333333334
id,higher_resource,extract_localize_verify,512,0.693359375,174,0.9080459770114943,0.6896551724137931,160,4.379166666666666
id,higher_resource,protected_slot_realization,512,0.947265625,155,0.896774193548387,0.8838709677419355,160,3.9895833333333335
ja,higher_resource,naive,512,0.533203125,162,0.7037037037037037,0.41358024691358025,152,4.447368421052632
ja,higher_resource,field_constrained,512,0.595703125,149,0.8523489932885906,0.5570469798657718,152,4.059210526315789
ja,higher_resource,extract_localize_verify,512,0.58203125,134,0.8432835820895522,0.4701492537313433,152,4.327850877192982
ja,higher_resource,protected_slot_realization,512,0.87890625,160,0.925,0.81875,152,3.5526315789473686
kk-Arab,lower_resource_script_sensitive,naive,512,0.212890625,151,0.3576158940397351,0.152317880794702,152,3.3344298245614037
kk-Arab,lower_resource_script_sensitive,field_constrained,512,0.23828125,143,0.4755244755244755,0.1888111888111888,152,3.219298245614035
kk-Arab,lower_resource_script_sensitive,extract_localize_verify,512,0.259765625,151,0.47019867549668876,0.17880794701986755,152,3.3826754385964914
kk-Arab,lower_resource_script_sensitive,protected_slot_realization,512,0.4375,171,0.4444444444444444,0.3508771929824561,152,3.0953947368421053
mn-Mong,lower_resource_script_sensitive,naive,512,0.2578125,137,0.4306569343065693,0.2116788321167883,152,2.9473684210526314
mn-Mong,lower_resource_script_sensitive,field_constrained,512,0.30859375,175,0.44571428571428573,0.21714285714285714,152,2.949561403508772
mn-Mong,lower_resource_script_sensitive,extract_localize_verify,512,0.330078125,147,0.3945578231292517,0.24489795918367346,152,2.8146929824561404
mn-Mong,lower_resource_script_sensitive,protected_slot_realization,512,0.53125,140,0.35,0.29285714285714287,152,2.7982456140350878
th,higher_resource,naive,512,0.609375,154,0.7857142857142857,0.5714285714285714,152,4.291666666666667
th,higher_resource,field_constrained,512,0.6796875,140,0.8785714285714286,0.5571428571428572,152,4.267543859649122
th,higher_resource,extract_localize_verify,512,0.685546875,137,0.8394160583941606,0.5620437956204379,152,4.258771929824562
th,higher_resource,protected_slot_realization,512,0.89453125,165,0.8727272727272727,0.793939393939394,152,4.014254385964913
ug,lower_resource_script_sensitive,naive,512,0.373046875,160,0.64375,0.30625,152,3.8508771929824563
ug,lower_resource_script_sensitive,field_constrained,512,0.40234375,162,0.7716049382716049,0.3765432098765432,152,3.629385964912281
ug,lower_resource_script_sensitive,extract_localize_verify,512,0.447265625,165,0.696969696969697,0.37575757575757573,152,3.776315789473684
ug,lower_resource_script_sensitive,protected_slot_realization,512,0.73828125,167,0.7485029940119761,0.6227544910179641,152,3.2565789473684212
zh,higher_resource,naive,512,0.619140625,150,0.7466666666666667,0.4666666666666667,152,4.537280701754386
zh,higher_resource,field_constrained,512,0.681640625,157,0.89171974522293,0.6305732484076433,152,4.206140350877193
zh,higher_resource,extract_localize_verify,512,0.69140625,161,0.8509316770186336,0.6149068322981367,152,4.4605263157894735
zh,higher_resource,protected_slot_realization,512,0.939453125,134,0.8731343283582089,0.8283582089552238,152,3.8596491228070176
